tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
10090	Mus musculus	223337	0	live	Ugt3a2	AI313915	UDP glycosyltransferases 3 family, polypeptide A2	UDP-glucuronosyltransferase 3A2|UDP glucuronosyltransferase 3 family, polypeptide A2|UDPGT 3A2	15 A1	15	NC_000081.6	9335551	9370955	plus	7		
10090	Mus musculus	105887	0	live	Ugt3a1	AI746432	UDP glycosyltransferases 3 family, polypeptide A1	UDP-glucuronosyltransferase 3A1|UDP glucuronosyltransferase 3 family, polypeptide A1|UDPGT 3A1	15 A1	15	NC_000081.6	9279822	9315038	plus	7		
10090	Mus musculus	383094	0	live	Gm5219		predicted gene 5219		15 A1	15	NC_000081.6	9424179	9431334	plus	0		
10090	Mus musculus	100039661	0	live	Gm2360		predicted gene 2360		15	15	NC_000081.6	9318959	9322231	plus	0		
10090	Mus musculus	666503	0	live	Gm8139	EG666503	predicted gene 8139		15 A1	15	NC_000081.6	9250524	9261347	minus	0		
10090	Mus musculus	18700	0	live	Piga	AI194334, Pig-a	phosphatidylinositol glycan anchor biosynthesis, class A	N-acetylglucosaminyl-phosphatidylinositol biosynthetic protein|glcNAc-PI synthesis protein|phosphatidylinositol glycan, class A|phosphatidylinositol-glycan biosynthesis class A protein|phosphatidylinositolglycan class A	X 76.49 cM	X	NC_000086.7	164419685	164433916	plus	8		
10090	Mus musculus	99151	0	live	Cercam	2600006K01Rik, AL024097, Ceecam1	cerebral endothelial cell adhesion molecule	inactive glycosyltransferase 25 family member 3|probable inactive glycosyltransferase 25 family member 3|cerebral endothelial cell adhesion molecule 1|glycosyltransferase 25 family member 3	2 20.76 cM	2	NC_000068.7	29845100	29882845	plus	18		
10090	Mus musculus	319804	0	live	Glt1d1	5730455A04Rik	glycosyltransferase 1 domain containing 1	glycosyltransferase 1 domain-containing protein 1	5 G1.2	5	NC_000071.6	127632130	127708750	plus	14		
10090	Mus musculus	232493	0	live	Gys2	BC021322, LGS	glycogen synthase 2	glycogen [starch] synthase, liver|glycogen synthase, liver	6 G2	6	NC_000072.6	142422612	142473130	minus	18		
10090	Mus musculus	56737	0	live	Alg2	1110018A23Rik, 1300013N08Rik, ALPG2, CDGIi, MNCb-5081	asparagine-linked glycosylation 2 (alpha-1,3-mannosyltransferase)	alpha-1,3/1,6-mannosyltransferase ALG2|GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase|GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase|GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase|alpha-1,3-mannosyltransferase ALG2|asparagine-linked glycosylation 2 homolog (yeast, alpha-1,3-mannosyltransferase)|asparagine-linked glycosylation protein 2 homolog	4 B1	4	NC_000070.6	47469833	47474370	minus	2		
10090	Mus musculus	234407	0	live	Colgalt1	2810024B22Rik, Glt25d1	collagen beta(1-O)galactosyltransferase 1	procollagen galactosyltransferase 1|glycosyltransferase 25 domain containing 1|glycosyltransferase 25 family member 1|hydroxylysine galactosyltransferase 1	8 B3.3	8	NC_000074.6	71610991	71624911	plus	12		
10090	Mus musculus	207958	0	live	Alg11	AI849156, AW492253, B230397C21, Mmat-4(5)	asparagine-linked glycosylation 11 (alpha-1,2-mannosyltransferase)	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase|asparagine-linked glycosylation 11 homolog (yeast, alpha-1,2-mannosyltransferase)|asparagine-linked glycosylation protein 11 homolog|defective mannosyltransferase IV(V)|glycolipid 2-alpha-mannosyltransferase|mannosyltransferase IV(V)	8 A2	8	NC_000074.6	22060721	22071627	plus	5		
10090	Mus musculus	17831	0	live	Muc2	2010015E03Rik, MCM, wnn	mucin 2	mucin-2|colonic mucin|secreted gel-forming mucin	7 87.1 cM	7	NC_000073.6	141690340	141754694	plus	46		
10090	Mus musculus	238123	0	live	Cog5	5430405C01Rik, C87247, D18362, GOLTC1, GTC90	component of oligomeric golgi complex 5	conserved oligomeric Golgi complex subunit 5|COG complex subunit 5	12 A2-A3	12	NC_000078.6	31654868	31937631	plus	25		
